UID          PID    PPID  C STIME TTY          TIME CMD
daniel      1240       1  0 16:26 ?        00:00:00 xcape -e Super_L Control_L Escape
daniel      1243    1003  0 16:26 ?        00:00:00 xiccd
daniel      1248    1003  0 16:26 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
daniel      1255       1  0 16:26 ?        00:00:00 /usr/bin/spice-vdagent
daniel      1269    1003  0 16:26 ?        00:00:00 light-locker
colord      1270       1  0 16:26 ?        00:00:00 /usr/libexec/colord
daniel      1279     954  0 16:26 ?        00:00:00 /usr/libexec/dconf-service
daniel      1289    1003  0 16:26 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
root        1291       1  0 16:26 ?        00:00:01 /usr/sbin/spice-vdagentd
daniel      1301    1003  0 16:26 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
daniel      1354     954  0 16:26 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
root        1377       1  0 16:26 ?        00:00:00 /usr/libexec/udisks2/udisksd
daniel      1396     954  0 16:26 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
daniel      1403     954  0 16:26 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
daniel      1409     954  0 16:26 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
daniel      1417     954  0 16:26 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
daniel      1438    1095  0 16:26 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
daniel      1446     954  0 16:26 ?        00:00:00 /usr/libexec/gvfsd-metadata
daniel      1467     954  0 16:26 ?        00:00:00 /usr/libexec/bluetooth/obexd
daniel      2111       1  0 16:27 ?        00:00:02 /usr/bin/qterminal
daniel      2114    2111  0 16:27 pts/0    00:00:02 /usr/bin/zsh
root        4204       2  0 16:31 ?        00:00:00 [kworker/0:0-events]
root        5984       2  0 16:35 ?        00:00:00 [kworker/3:2-mm_percpu_wq]
root        6337       2  0 16:36 ?        00:00:00 [kworker/2:1-mm_percpu_wq]
daniel      6411     954  0 16:36 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/xfconf/xfconfd
root        6666       2  0 16:37 ?        00:00:00 [kworker/0:1-events]
root        8830       2  0 16:40 ?        00:00:00 [kworker/3:1]
daniel      8991    2114  0 16:41 pts/0    00:00:00 ps -ef
